product_id,sku,product_name,brand,description,listing_date,update_date,is_active,category_id,sub_category_id
P1001,LOG-M185,Wireless Mouse,Logitech,Ergonomic wireless mouse with USB receiver,2024-01-10 10:15:00,2026-08-20 14:30:00,true,CAT01,SUBCAT01
P1002,RD-K552,Mechanical Keyboard,Redragon,RGB mechanical gaming keyboard with compact layout,2024-02-15 12:00:00,2026-08-21 09:45:00,true,CAT01,SUBCAT02
P1003,ANK-HUB7,USB-C Hub,Anker,7-in-1 USB-C hub with HDMI and USB ports,2024-03-01 09:30:00,2026-08-22 11:20:00,true,CAT01,SUBCAT03
P1004,NK-RUN-01,Running Shoes,Nike,Lightweight running shoes designed for daily training,2024-03-20 08:45:00,2026-08-23 16:10:00,true,CAT02,SUBCAT04
P1005,PM-TS-101,Cotton T-Shirt,Puma,Regular fit cotton t-shirt for casual wear,2024-04-05 15:20:00,2026-08-24 10:05:00,true,CAT03,SUBCAT05
P1006,ML-BTL-1L,Stainless Steel Bottle,Milton,One litre insulated stainless steel bottle,2024-04-18 11:10:00,2026-08-25 13:15:00,true,CAT04,SUBCAT06
P1007,GS-CHR-01,Office Chair,GreenSoul,Ergonomic office chair with adjustable lumbar support,2024-05-10 14:00:00,2026-08-26 17:40:00,true,CAT05,SUBCAT07
P1008,PH-LED-09,Smart LED Bulb,Philips,WiFi enabled smart LED bulb with app control,2024-05-22 18:15:00,2026-08-27 12:00:00,true,CAT06,SUBCAT08
P1009,CL-NB-200,Notebook,Classmate,Two hundred page ruled notebook for school and office use,2024-06-01 10:00:00,2026-08-28 08:30:00,true,CAT07,SUBCAT09
P1010,JBL-GO3,Bluetooth Speaker,JBL,Portable Bluetooth speaker with compact waterproof design,2024-06-15 16:25:00,2026-08-29 18:50:00,true,CAT01,SUBCAT10
P1011,LOG-C920,Webcam,logitech,Full HD webcam suitable for meetings and streaming,2024-07-01 10:00:00,2026-08-30 09:00:00,true,CAT01,SUBCAT11
P1012,AD-TR-22,Training Shoes,Adidas,Comfortable training shoes for gym and fitness activities,2024-07-10 12:30:00,2026-08-30 11:00:00,true,CAT02,SUBCAT04
P1013,WC-BAG-01,Laptop Backpack,Wildcraft,Laptop backpack with padded compartment and multiple pockets,2024-07-15 09:20:00,2026-08-31 10:10:00,true,CAT08,SUBCAT12
P1014,MI-PB-10K,Power Bank,Xiaomi,10000mAh portable power bank with fast charging support,2024-07-20 14:40:00,2026-08-31 15:30:00,true,CAT01,SUBCAT13
P1015,BOAT-HP-01,Wireless Headphones,boAt,Over-ear wireless headphones with built-in microphone,2024-08-01 11:00:00,2026-09-01 09:20:00,true,CAT01,SUBCAT14
P1016,SAM-SSD-1TB,Portable SSD,Samsung,One terabyte portable solid state drive with USB-C support,2024-08-12 13:20:00,2026-09-01 12:00:00,true,CAT01,SUBCAT15
P1017,HP-MON-24,24 Inch Monitor,HP,Full HD twenty four inch monitor for home and office use,2024-08-20 09:50:00,2026-09-02 08:40:00,true,CAT01,SUBCAT16
P1018,PREST-COK-5L,Pressure Cooker,Prestige,Five litre aluminium pressure cooker for household cooking,2024-09-05 10:30:00,2026-09-02 11:15:00,true,CAT04,SUBCAT17
P1019,LEVI-JNS-01,Slim Fit Jeans,Levi's,Slim fit denim jeans for everyday wear,2024-09-15 14:10:00,2026-09-03 09:30:00,true,CAT03,SUBCAT18
P1020,AMZ-KDL-01,Kindle E-Reader,Amazon,Compact e-reader with glare-free display and adjustable lighting,2024-10-01 12:45:00,2026-09-03 13:00:00,true,CAT01,SUBCAT19
