sub_category_id,category_id,sub_category_name,is_active,created_date,updated_date
SUBCAT01,CAT01,Computer Accessories,true,2024-01-10 09:00:00,2026-08-20 10:00:00
SUBCAT02,CAT01,Keyboards,true,2024-01-11 09:30:00,2026-08-21 10:30:00
SUBCAT03,CAT01,USB Accessories,true,2024-01-12 10:00:00,2026-08-22 11:00:00
SUBCAT04,CAT04,Running and Training,true,2024-01-13 10:30:00,2026-08-23 11:30:00
SUBCAT05,CAT02,T-Shirts,true,2024-01-14 11:00:00,2026-08-24 12:00:00
SUBCAT06,CAT03,Kitchen Storage,true,2024-01-15 11:30:00,2026-08-25 12:30:00
SUBCAT07,CAT03,Furniture,true,2024-01-16 12:00:00,2026-08-26 13:00:00
SUBCAT08,CAT03,Lighting,true,2024-01-17 12:30:00,2026-08-27 13:30:00
SUBCAT09,CAT05,Notebooks,true,2024-01-18 13:00:00,2026-08-28 14:00:00
SUBCAT10,CAT01,Speakers,true,2024-01-19 13:30:00,2026-08-29 14:30:00
SUBCAT11,CAT01,Webcams,true,2024-01-20 14:00:00,2026-08-30 15:00:00
SUBCAT12,CAT02,Bags and Backpacks,true,2024-01-21 14:30:00,2026-08-31 15:30:00
SUBCAT13,CAT01,Power Banks,true,2024-01-22 15:00:00,2026-09-01 16:00:00
SUBCAT14,CAT01,Headphones,true,2024-01-23 15:30:00,2026-09-02 16:30:00
SUBCAT15,CAT01,Storage Devices,true,2024-01-24 16:00:00,2026-09-03 17:00:00
SUBCAT16,CAT01,Monitors,true,2024-01-25 16:30:00,2026-09-04 17:30:00
SUBCAT17,CAT03,Cookware,true,2024-01-26 17:00:00,2026-09-05 18:00:00
SUBCAT18,CAT02,Jeans,true,2024-01-27 17:30:00,2026-09-06 18:30:00
SUBCAT19,CAT01,E-Readers,true,2024-01-28 18:00:00,2026-09-07 19:00:00
